OrderID,ProductID,Quantity,CustomerID,OrderDate,EmployeeID
7f5d8904-3f5d-45ab-bfb3-3e65daf23a19,2da0ebaf-dcb3-495f-9de6-2fc1a3c9197c,3,c870962f-179f-42ec-b5ce-f08f384a1994,2024-01-16,0070c383-e5c3-40e0-8a46-d5b6eadbcbbc
4b1b1bfd-71b0-480b-8c03-8e72f585cf0c,664e8106-5764-4e36-aa94-cbf0cbfd78f2,6,c6fba076-c8bf-4817-a965-65bf9d2d203a,2024-06-11,50c99f20-34d4-423f-81e4-3f6772f6d9d5
e37c006a-c1c6-42af-86b2-6fcade99392a,44e280be-8d28-4523-9415-c1fc133a0d92,2,194b9c52-480b-4a2a-9ca5-d2f7759039d0,2024-04-28,98461d72-246f-4999-8152-e241dae1fb1f
1ed43be3-1540-4a82-8825-8953dd2c898f,13f3b8e5-7a8d-45a9-9a26-22dbe797df03,10,48aef2e0-c173-44d4-a49e-3203a6179878,2024-05-28,8a21bcce-bb7c-4d68-9035-cda7fa6c49bc
a3479f85-b712-4aa0-95a6-574f968973df,82e42bc7-2f6a-46aa-b24f-bcf1a049462b,4,35b983c7-0227-45ab-bc15-3d23b2685427,2024-02-02,264933ec-7712-4d31-8d26-8909976324e5
ada47b00-b30c-4ab0-a67c-d67a4035a1e4,f6a2082f-58d7-48c7-b5a5-1596e25a0bfa,4,50212716-90ad-4c1b-86b5-92c0484c67f5,2024-01-20,bef9392b-7db4-41a2-93a2-b659a547f970
7c54e3aa-5cf5-4b33-bbbe-f0ccf548aa56,fd6897f0-2189-4b60-860d-c2e75042b4b7,2,bc7e4f59-cfb2-4ff9-a5da-5f2579576f60,2024-03-28,4c4f8a02-544f-4955-b092-0716b8b4f667
70a9298e-977e-40a8-9fa8-c2b3f2bc79c1,b2af0640-079f-40d0-8ea7-95e1b654f290,6,5a86b660-31c5-41c1-a428-ea928cd1cd3f,2024-01-30,6ce37722-30f7-440e-b3f5-fca51c2b5737
9e829e1a-c869-4680-8f3f-058ab776d921,95a5a2a9-5e11-4e1c-94a2-6a1fc252a3fc,10,32a7cc25-8ea7-495a-90a0-552b8530cd47,2024-03-26,3eee0927-35a2-4af6-9d45-3efda26b441e
389ec882-7a27-4c13-8ab3-7d2524d2754e,85d6c1f1-6634-4854-90a8-8e9574e01a6f,4,52398d2d-97c1-46da-a4cc-833575fc4bdc,2024-07-09,6191f52d-db51-4e84-aed7-811cc06c898a
b8c72385-2e02-40bb-8424-f1fba93ff5e8,fcc25ff4-bd50-4fcc-bad4-9d002832f6eb,4,548b4f86-9d36-46ab-9dcd-810046e3fe91,2024-04-24,a641e63f-c60b-4b33-a3a6-08df93ff5927
3bcd28b0-2803-4acb-afcb-025b643d63b6,ba8dc8e0-4452-4991-8a1f-6a0e93686ea5,3,f3a9d5c4-631f-4e09-a8df-0ce55d9fb19d,2024-04-11,89c92ecd-47e2-4527-ae01-867e768647f9
cd8565da-13b8-40e3-a3af-fa64f55b7bbe,d0cbdd14-8a7f-45f4-84f6-0cde9edf6f0f,6,f859641e-c72f-44a7-97db-eb3907ef3ba6,2024-03-22,7bb05957-41fd-40ad-b3c2-0a86faf6efbb
f3b3416d-9b4b-4dab-9f64-f8848560e1c3,7001496e-4fa1-414d-9a2f-9f97353ef2f2,1,34c0c970-4c4e-4dae-8339-bd53c0a26601,2024-04-29,fd78086d-039f-4090-ae95-cf51c04447d2
3a3bf418-54d3-4c02-93d5-7e18a4e2d567,955d99e8-9555-4b66-ab82-d7f1ec92d9ac,4,f9ac7d30-2e2d-415d-917a-d8690e8ed151,2024-06-23,a6d8886e-b1e2-4e6c-a0b2-d93ab67069d9
e20506ea-a5ee-4119-9c10-612557edbde0,8801cb30-e133-49d8-afbf-fefd95cfdca4,10,4ebed413-7f2b-4597-bbcf-30c0d3fec059,2024-05-23,a71a0910-ee9d-4660-8a9c-00913be260dd
255f29af-dfad-4bb6-af18-552e91700fa3,5a9df49d-9963-49aa-b3b8-c658db33329c,8,089bb6c2-1edf-4dfd-8454-b94ee316501c,2024-05-11,ff839190-11a3-4c51-b488-6605acfb3fe1
1b9861ce-a9c5-4fca-812b-782c6dc021ac,3004aa69-5b98-4c9c-87a1-2756a67787fa,1,722cd3ae-f9e8-4c44-ada2-77c38ae94aba,2024-07-23,7bac6395-655f-4716-afd9-97dfc579f944
0c393519-b610-4b16-a533-413d69fc6412,471ae202-68c5-45c6-b2e7-f6b38146a305,1,0e04a27a-3337-4a1c-b18b-e96b23b225b2,2024-05-16,9d5e89a8-b4ca-47f9-b451-9c76b4895f9f
8c3533c4-951a-4571-a9ac-61339ce7c7c0,793f6b43-530c-411e-b7b2-4cf8bbeed732,3,9c40ed3d-6afe-4f1d-8d3d-6eb315f51e1d,2024-04-02,a6d8886e-b1e2-4e6c-a0b2-d93ab67069d9
e7138767-e31d-4117-8475-3899f771af20,1a16b2c6-4b85-4b37-aa54-fa9edecc41e3,1,5aa41c88-07dd-4b23-94fb-e51d60a19f6e,2024-04-18,1f5d6853-8d76-4dcc-ba0e-0d65b1ccadad
b306afa2-9217-4e63-8916-6dea2d2de471,8d213633-7b2e-4c61-bfc4-7f10e6f02be9,3,cf39619d-4eb8-41c5-9989-d2f378672862,2024-01-11,e6d71a12-a77f-46e1-9274-4ee736f93eba
f5bee170-4391-432f-9b00-76d47dbb1311,fce490c3-881c-4f78-9ca8-828756dbb26b,4,9cd930fc-2998-4724-a169-80e19e2fde23,2024-05-16,1c1b2ddf-e891-41d3-ab4b-0080ec509964
a4afc9cd-1403-496e-8460-97a303bcfe76,c5416d6c-06fd-4936-8066-6f6dfa267b52,1,3e6a3f9e-a91b-49d8-bcf8-fe4068d29aa5,2024-06-30,1f412c49-58ab-44de-a62a-05814e990546
509a2993-3891-4ceb-a543-461818e41d08,4f4db769-bc3c-436f-9154-884defe9174e,6,dcb02a02-c786-49e4-9cfb-8189409c5540,2024-01-02,481f163f-5ae0-422b-a808-98f9e25389ff
8351794a-0d5f-491d-83f7-a26d4dd4223b,b90339cc-e5a6-40b6-a9fb-39d2b0ea5334,8,6c7c7cf1-ffdb-4e6d-bb9a-8e081d908f89,2024-01-21,266ee580-dcd8-4ec3-9213-ef230263c308
b81159f1-1f32-47ff-9692-ff94d0c2185b,3f99ecf7-7330-4fc1-b6ac-813ef7bdfaa7,5,db5b4727-2357-489a-8099-6bc5ee4b24fc,2024-06-16,d5631678-d8a4-43c9-9fdd-d9a96749dc55
fa1af5b9-57ac-4e5f-8af3-d3104e5a0c18,e7829058-013b-471c-99a3-35d1aea57b0d,5,2ffbe904-2573-4090-8525-71be9ad09511,2024-01-10,c56dfa69-607e-48d2-8399-d5d323a3634b
e7f8fc5d-6774-4a4b-a4dd-04ba01fdeaf9,2069cfe1-2021-42fa-9fae-ca6216c912c1,7,317e7f96-b3c5-4e42-898d-94d931dda5c2,2024-02-15,3651e4ee-d772-4e98-97fd-486e3d80aa30
aed5cd47-6236-463e-bf17-f51f65c8ceca,8b4589f7-32eb-4184-9a24-fa9f56b862f6,8,aecb4465-8f09-4376-b1e6-b1c699743aaf,2024-01-24,2cca5890-a4f9-4f92-80ad-60c26999fa9b
78e572d7-71b8-4b36-9e80-2021905c85ab,7b5a3839-0397-4da6-a198-91dd5798dd96,4,7dad9a37-0221-4b93-bf31-87b1182adf06,2024-03-26,76e99786-de30-4129-b424-32e6225ca947
0845e112-bb8e-44b3-97d5-487a87ddb5c2,7407ef0a-e530-4ae1-ada2-8ffb6aec9724,5,6351359d-f1fe-405a-a6bf-1f0af0689c8b,2024-04-02,20d65e2b-6397-4b08-80e8-b915458e990f
dc141ae1-de36-4334-a88c-621cf584bae3,42b6753b-2ff1-43ba-8435-34d6ffa80a46,2,dc1f2773-de68-4ec9-bb84-114e2a15b9a1,2024-06-23,cbd4b2e4-29ac-42e4-8cc6-b17ba78c5477
6c2b6631-1661-4ec6-a833-e5d2311e2c1e,65ba7faa-5df2-495a-9f5f-8ad48ac53210,1,8031d6ed-1d18-4390-94d9-dc4923fc2f97,2024-01-28,4953fcd8-4376-4301-944c-f4838d66960b
492c84ba-de02-43c2-9dfb-00114fc512da,2d4324a8-baed-45d7-95b1-5b9129b68fe0,1,9aeb3e99-eacf-458e-a3ef-5c9850aa7853,2024-03-01,d0cc7bcc-3dfd-4965-a652-fba60afdeba1
b4614419-4734-4ecf-969e-9e2a18944a69,050c6a26-7e59-4346-a778-0e76c9b8e7b5,3,69d28df0-3e2d-48c7-81aa-0bc8b79b5a4a,2024-03-13,03c2d015-62b9-4481-ab9f-898986c0c31f
a6ca4838-60b2-4bf6-9630-c4ec94f0c940,2e25f54e-64a6-40a3-9b31-996b2efe2b0e,9,aa331bd2-1cdf-4aa2-972e-c73bdcb52f3d,2024-06-02,82dec4f9-5d11-4e94-8e14-fd5026f4e170
9256f4a0-fa69-44ab-b56a-dc0be606d914,8d8ef034-a2ab-40e0-8c52-54e95855f076,4,7665398f-2ce9-4845-81ad-243567acfd52,2024-06-20,fb227cf9-da9c-4066-a143-cb5f8f3476ba
dd98b18d-9c38-475d-961a-ddd3cb174391,194762bb-a4d5-405b-b6fc-8aa3ee95ce9f,4,4481ccab-e00a-4b68-85c4-93e2c23e7473,2024-04-02,f4ac03e7-866c-403b-862d-01557d54bacc
