ShippingID,OrderID,CarrierName,ShipDate
77c542cd-8670-41ad-992f-178abefbe7d1,b3634117-ac92-445c-95b5-0dbe51c1bad5,Patel-Hayes,2015-04-13 19:04:56.247525
377e6d77-ebd0-4a5d-96ac-388ed59e727b,0060f6ad-8fba-4bc6-9956-f2751f7388a7,Grant-Cummings,1977-02-11 14:17:18.872696
20432a2e-58eb-47cf-8027-e2945a5d499b,169146a3-4361-438d-b908-a6994e0e4e6b,Terrell-Reynolds,2015-02-13 03:58:25.842814
69b19a91-c206-4584-b9af-c3432e8e9ed1,b0489d57-b2e5-4071-ad61-971dfc089b66,Kent Inc,1997-02-09 05:28:07.963364
cee02a5f-fca0-48ac-b146-aedb17a7dca7,2673b785-4f20-4a78-94a2-cae41d328fe7,Gutierrez PLC,1983-11-25 06:39:34.716997
6d3f6f88-0e3d-4d0b-be1f-95aa5030b32c,8ce4a081-4b0b-4c39-b85e-a0255c04fa8a,Pena-Farmer,2007-05-22 20:39:29.560855
fc0eee88-5cd1-4844-904e-c65aad2efcfb,0bf847fe-ae94-44c0-9297-018f188b1135,Howe-Anderson,2001-12-03 00:35:53.535527
ea3aeff1-95c5-4db8-991f-9162384128a6,021568af-059a-4fdc-ac34-5d25c46ed821,Brown Inc,2009-06-13 10:35:35.623322
cfea1688-ee6d-416e-b6bb-b63b9e887c49,e4796d50-2f6f-4bc6-846b-56875380e5e2,Orozco and Sons,1991-11-27 08:03:13.853571
6d36e67f-cf74-4785-9b32-8f524ee14a80,2b3ff292-138e-4e07-a804-f1c0258b6d6b,Hansen and Sons,1982-07-19 04:41:21.741095
4914e15b-4d76-46f5-9e9b-f2e15fc95770,f0a0fa3d-c534-4561-a5f4-315f8fe5970d,Anderson-Smith,1979-06-11 14:40:40.114670
84b87882-f85e-4b59-924b-591875deedb9,171daade-d2cf-4fcc-88a4-9615ef6d6e3c,Ruiz-Alexander,1991-01-02 20:56:25.716326
9172dd89-523e-452f-9788-563310048636,0628928f-d813-4acc-8c4c-ec9a7e15f5df,Mendez-Jenkins,2020-05-01 09:01:59.349158
abc752ee-35a2-4079-aa29-30ae88981f92,64b8dfae-bf1e-463e-b305-2587e2a90e0c,Smith-White,2008-08-08 14:29:51.700362
56a2ce4e-2bdb-48c0-b14f-daadf71b0f96,35a8b134-22b7-477f-8ed4-da4d84ab58c3,Mcintyre Inc,1972-10-31 20:05:32.992365
234e3990-a9ef-4d10-9cb2-02d009a461ce,4a602598-00cf-4edd-a164-0eb3657db771,Nunez and Sons,2014-07-18 09:04:16.979549
8cdb047a-4d14-4991-ac0d-694905f64543,9a2e72c2-78cf-44c1-ac99-49e743225d9c,Nolan-Garcia,2011-05-10 10:11:26.530069
394749b0-6cfa-4be5-b07c-71a56abdff5d,8747ec30-c028-4e1a-bb6d-f8d29b664d95,Wise Inc,1994-07-07 06:29:23.480594
2aee79cc-7c7d-4f5d-bbe6-8c298f9fac23,94d16428-4ce6-4977-af21-21865df51d1f,Jordan LLC,2022-07-24 18:16:03.862393
e3e43f56-fcc2-4924-81c4-ec9978064357,9cdf9a7d-3507-4d9b-a682-5e7c63524c52,Watts-Thomas,2004-11-02 14:46:22.182834
a3671b0d-8242-4c63-930b-6dda7b4911db,c484d53d-c5aa-4191-a210-f65d9a158cb4,Hill-Vazquez,2011-04-19 18:00:05.828323
8a3a168e-2f9b-4acd-9e8b-7c4ab2d18c74,f27bb8d2-2e81-4fde-a16f-2142df4e82a0,Cruz Inc,1976-03-25 19:57:19.027408
7470e856-874d-4c95-970f-bc3d55e9135f,cad3c2a1-a60c-4797-92e3-465662a46b37,Johnson Ltd,2018-10-29 10:07:56.887801
2e4d36af-0aeb-49e5-8cb6-a95b167799a7,f179a1f4-c1f3-4c93-acad-0b59655a0aab,Chang-Wagner,2009-11-21 18:08:06.226287
f5504caa-ee49-47f1-8bc0-887b3e444cfb,147d776c-8bae-44cf-8cd2-1fc719a80f86,Crawford-Robinson,2010-08-05 02:57:50.239339
b2ad5904-f3ef-44bd-a6e2-dfc624a6c50c,8b767771-a0ec-443d-be65-7b364f668a3f,Goodwin-Mason,2017-10-11 15:52:27.887599
72ff2235-bca9-4d32-bf7a-10074f1396f9,29348b23-28e6-47b8-98e9-62a72af173c3,Chavez and Sons,1982-06-10 16:19:59.789905
38a6feb5-cdda-40af-ad44-f023b353d936,fc81c7d8-7217-4672-80d5-7e806ba2a01b,Knapp-Mcdaniel,2021-09-29 00:35:20.960752
da61fdcd-99ce-4e23-8456-4e26d0e527c1,0cf987dd-57fb-4a3f-b2a2-7739d9261af9,Brooks-Thomas,1975-08-27 10:14:18.813043
77418132-ee18-4d92-bfed-cc610251a530,858055e2-f32a-456d-9a4d-7265b4b11587,Ward PLC,1970-09-06 17:50:29.119596
5d3dde55-d2ac-4030-b65e-19e46227a3e7,6a2a8443-3787-4ddf-b596-e2e942a1a8e5,Pratt-Perez,1983-12-02 21:10:45.695282
fd6e2b88-de67-4360-adc8-3eda6bd6819c,0fb53442-482c-4fac-b3b8-49c91c76bc4c,Barber LLC,2020-10-01 12:11:10.045384
8cab2ed6-c120-48ff-b76f-695c5a415590,79926147-6ce0-4fe1-932c-8caf28031a79,Lewis-Dixon,1978-04-03 09:48:19.284409
215f5672-e2ee-42b9-b0c0-796e3e079e8a,cbc82ca5-2ae9-4c77-a305-d3c08ef95f6d,Holt PLC,2006-07-29 14:52:17.516340
547e36ac-31b8-4243-a267-02cc82373b18,9ef13c8e-17d0-4d6a-a9d2-a3bf48eaa59a,Porter Ltd,2013-09-23 03:43:38.839905
