ShippingID,OrderNum,CarrierName,ShipDate
67af6e29-160c-429e-a957-1c7c44d8e22a,bdae5034-77a5-434c-9d0f-b23d254080b2,"Turner, Kane and Skinner",2024-02-14 07:53:23.329823
a601bf30-1f0a-4dab-b2aa-da484411961a,f4344c10-bf99-479d-962f-b47732a1d7a8,Bridges-Thomas,2024-01-12 15:14:29.346093
ae414ca1-ea0d-4793-9989-e7f4f0046baf,ed1bc258-fa54-4c59-a4a9-bc808d39e5fa,Fletcher-Smith,2024-03-03 12:33:25.220330
b4c236dd-14a4-40c9-ad78-4cfe906cd4cf,53a7262a-b568-4e4d-ad2e-a8196131a02f,"Stone, Bush and Oneal",2024-04-12 15:21:54.971985
d477334d-4725-49a9-a04c-0f18411d7d46,2d9fc0f7-1937-4579-bcc7-5ad5a5d8982b,"Lopez, Welch and Skinner",2024-06-20 07:24:04.505479
85f5aa1c-ee17-4703-9d79-d9d5cae3e8cb,813b3a39-0a6f-41d8-b3ff-436a8fd63881,Price LLC,2024-02-23 07:51:11.248471
e24dca2d-43a4-4cd7-b416-ba70728a6dbf,c2ee4c44-0e00-4d79-929f-656385c6fcdc,Bell-Terry,2024-02-29 15:55:18.886772
9817c743-14c4-435a-afce-a6cb49a3f7ad,0e77119c-93a3-40f0-ba58-873a5028885d,Martin-Acevedo,2024-06-27 05:36:47.168449
17919c8c-5601-4221-8161-3c5cb66248d5,c6982d71-3af3-4948-bed3-def11da7ed8e,"Murray, Gardner and Freeman",2024-04-18 18:43:50.173560
204a4df7-d9c6-4956-95a8-db1b8b1cbe5e,4adfacba-9a03-4a51-9eb7-8da3c9291450,Haney and Sons,2024-02-28 23:29:15.027316
c4fecb84-87b4-4b1b-9c7f-d03f159ea70d,f983ebb2-073a-4316-a316-c0f4fcb4e3a4,Henry PLC,2024-01-06 01:45:38.739359
875d0458-7d26-489e-9542-506b2541c1e8,d7d64a6b-28b4-4e2c-a34c-192b2aeb1e40,Carter Inc,2024-04-06 10:01:54.923679
088d063c-fc29-4dfa-80f4-b2a12be84ecc,921df593-a9e7-43f9-ad44-6114f678aaf7,Bonilla and Sons,2024-02-24 09:32:10.196230
fe23caf3-c8de-4cf1-a6cb-21f5df85fb04,5a717d29-855b-4d9e-8549-dcdf38ad9eb2,Gilbert and Sons,2024-03-30 19:12:13.012856
470dca4b-1c39-43fb-932f-1aa89796da43,2d780ded-56a8-4b85-b1ff-9e7a2658f3ec,"Hess, Hammond and Brewer",2024-06-08 09:48:09.502251
b5a3ab3c-1a30-4cfe-8777-1931c8dbd9d6,0b81ceed-e97b-4b2f-89cf-7d7b42be48e0,West Inc,2024-02-20 02:45:12.961913
224e9990-3787-48a4-895f-081b1e1cecec,fee55068-8b1e-4f18-ac82-3e122426cf19,Holloway-Wong,2024-06-29 07:32:35.204576
f84342b4-d2d4-480f-994b-bfebd0c352e0,758da1a3-cc3f-482c-a739-25c9f3d2338d,Gaines-Stevenson,2024-02-18 11:14:41.822232
2646eef2-7ac8-4981-92c2-d78a3db87130,5695be38-a12a-450e-b9ad-649631c0737a,Avery-Hartman,2024-06-17 15:03:51.497684
5c83af89-88c3-4ed0-acb0-252bd59b9dc6,e03f4f15-d8f1-43ce-b156-ddac68a14b19,Shaw PLC,2024-06-11 02:13:20.015124
31d4fd33-01fd-42ec-8107-06de77b7ceec,8f8cf9c7-7a03-4880-8d93-91908cc2e8f1,"George, Gonzalez and Brown",2024-02-19 13:57:18.035694
